Mock_Community,Output,Assembler,Count,Type
Even,3Gb,Minia,61499,Protein
Even,3Gb,Minia,60056,Protein
Even,3Gb,Megahit,-21078,Protein
Even,3Gb,Megahit,-27884,Protein
Even,3Gb,Canu,17533,Protein
Even,3Gb,Canu,16312,Protein
Even,3Gb,Wtdbg2,43379,Protein
Even,3Gb,Wtdbg2,45427,Protein
Even,3Gb,Unicycler,22995,Protein
Even,3Gb,Unicycler,24944,Protein
Even,3Gb,Miniasm,33666,Protein
Even,3Gb,Miniasm,33960,Protein
Even,3Gb,Flye,14009,Protein
Even,3Gb,Flye,14030,Protein
Even,6Gb,Minia,64365,Protein
Even,6Gb,Minia,63170,Protein
Even,6Gb,Megahit,-70725,Protein
Even,6Gb,Megahit,-84702,Protein
Even,6Gb,Canu,4843,Protein
Even,6Gb,Canu,3585,Protein
Even,6Gb,Wtdbg2,44904,Protein
Even,6Gb,Wtdbg2,46785,Protein
Even,6Gb,Unicycler,54939,Protein
Even,6Gb,Unicycler,50047,Protein
Even,6Gb,Miniasm,31904,Protein
Even,6Gb,Miniasm,32676,Protein
Even,6Gb,Flye,-3647,Protein
Even,6Gb,Flye,-4874,Protein
Even,3Gb,Minia,157,rRNA
Even,3Gb,Minia,157,rRNA
Even,3Gb,Megahit,-79,rRNA
Even,3Gb,Megahit,-28,rRNA
Even,3Gb,Canu,-17,rRNA
Even,3Gb,Canu,-25,rRNA
Even,3Gb,Wtdbg2,120,rRNA
Even,3Gb,Wtdbg2,114,rRNA
Even,3Gb,Unicycler,-31,rRNA
Even,3Gb,Unicycler,-11,rRNA
Even,3Gb,Miniasm,20,rRNA
Even,3Gb,Miniasm,27,rRNA
Even,3Gb,Flye,-1,rRNA
Even,3Gb,Flye,-9,rRNA
Even,6Gb,Minia,158,rRNA
Even,6Gb,Minia,158,rRNA
Even,6Gb,Megahit,-120,rRNA
Even,6Gb,Megahit,-129,rRNA
Even,6Gb,Canu,-12,rRNA
Even,6Gb,Canu,-26,rRNA
Even,6Gb,Wtdbg2,121,rRNA
Even,6Gb,Wtdbg2,116,rRNA
Even,6Gb,Unicycler,106,rRNA
Even,6Gb,Unicycler,64,rRNA
Even,6Gb,Miniasm,24,rRNA
Even,6Gb,Miniasm,29,rRNA
Even,6Gb,Flye,4,rRNA
Even,6Gb,Flye,-12,rRNA
