Mock_Community,Output,Assembler,Assembly_size,bcftools_orig,MuMmer_orig,bcftools,MuMmer,Label_bcftools,Label_MuMmer,mean_bcftools,mean_MuMmer,metaQUAST,Label_metaquast,mean_metaQUAST
Even,3Gb,Minia,8062,4136,6547,48.698,18.792,bcftools,MuMmer,62.160,41.478,263.56,metaQUAST,227.615
Even,3Gb,Minia,19333,4713,6928,75.622,64.165,bcftools,MuMmer,,,191.67,metaQUAST,
Even,3Gb,Megahit,70091160,1513633,738216,97.840,98.947,bcftools,MuMmer,97.798,98.940,1762.13,metaQUAST,1781.08
Even,3Gb,Megahit,61989178,1390992,661088,97.756,98.934,bcftools,MuMmer,,,1800.03,metaQUAST,
Even,3Gb,Canu,11826199,10829,11147,99.908,99.906,bcftools,MuMmer,99.920,99.919,214.77,metaQUAST,221.105
Even,3Gb,Canu,11688465,7981,7909,99.932,99.932,bcftools,MuMmer,,,227.44,metaQUAST,
Even,3Gb,Wtdbg2,9773989,17402,17109,99.822,99.825,bcftools,MuMmer,99.808,99.830,801.59,metaQUAST,749.59
Even,3Gb,Wtdbg2,9769589,20070,16167,99.795,99.835,bcftools,MuMmer,,,697.59,metaQUAST,
Even,3Gb,Unicycler,,,,,,bcftools,MuMmer,,,209.37,metaQUAST,194.485
Even,3Gb,Unicycler,,,,,,bcftools,MuMmer,,,179.6,metaQUAST,
Even,3Gb,Miniasm,10228262,451234,464208,95.588,95.462,bcftools,MuMmer,95.721,95.588,,metaQUAST,
Even,3Gb,Miniasm,9989335,414125,428061,95.854,95.715,bcftools,MuMmer,,,,metaQUAST,
Even,3Gb,Flye,13107767,17804,17312,99.864,99.868,bcftools,MuMmer,99.833,99.852,432.46,metaQUAST,439.205
Even,3Gb,Flye,13994567,27738,22867,99.802,99.837,bcftools,MuMmer,,,445.95,metaQUAST,
Even,6Gb,Minia,443460,9651,11841,97.824,97.330,bcftools,MuMmer,98.441,98.119,296.07,metaQUAST,271.645
Even,6Gb,Minia,1110081,10452,12131,99.058,98.907,bcftools,MuMmer,,,247.22,metaQUAST,
Even,6Gb,Megahit,126055246,1982394,997002,98.427,99.209,bcftools,MuMmer,98.533,99.262,1841.99,metaQUAST,1861.505
Even,6Gb,Megahit,127527880,1735003,872723,98.640,99.316,bcftools,MuMmer,,,1881.02,metaQUAST,
Even,6Gb,Canu,13892703,11522,11245,99.917,99.919,bcftools,MuMmer,99.921,99.925,271.32,metaQUAST,272.175
Even,6Gb,Canu,13638347,10320,9399,99.924,99.931,bcftools,MuMmer,,,273.03,metaQUAST,
Even,6Gb,Wtdbg2,9787904,13731,12322,99.860,99.874,bcftools,MuMmer,99.857,99.874,721.49,metaQUAST,677.535
Even,6Gb,Wtdbg2,9853578,14337,12471,99.854,99.873,bcftools,MuMmer,,,633.58,metaQUAST,
Even,6Gb,Unicycler,16259,1487,280,90.854,98.278,bcftools,MuMmer,95.375,99.077,668.83,metaQUAST,883.14
Even,6Gb,Unicycler,992091,1034,1236,99.896,99.875,bcftools,MuMmer,,,1097.45,metaQUAST,
Even,6Gb,Miniasm,,,,,,bcftools,MuMmer,,,,metaQUAST,
Even,6Gb,Miniasm,,,,,,bcftools,MuMmer,,,,metaQUAST,
Even,6Gb,Flye,15155709,26644,23072,99.824,99.848,bcftools,MuMmer,99.791,99.814,678.15,metaQUAST,781.8
Even,6Gb,Flye,16407395,39799,35918,99.757,99.781,bcftools,MuMmer,,,885.45,metaQUAST,
