Mock_Community,Output,Assembler,Assembly_size,bcftools_orig,MuMmer_orig,bcftools,MuMmer,Label_bcftools,Label_MuMmer,mean_bcftools,mean_MuMmer,metaQUAST,Label_metaquast,mean_metaQUAST
Even,3Gb,Minia,3017266,17824,225124,0.591,7.461,bcftools,MuMmer,0.519,6.744,674.72,metaQUAST,681.680
Even,3Gb,Minia,3750467,16743,226002,0.446,6.026,bcftools,MuMmer,,,688.64,metaQUAST,
Even,3Gb,Megahit,113608216,26342,3129337,0.023,2.754,bcftools,MuMmer,0.023,2.745,650.23,metaQUAST,631.085
Even,3Gb,Megahit,114342640,25730,3128281,0.023,2.736,bcftools,MuMmer,,,611.94,metaQUAST,
Even,3Gb,Canu,33192044,21259,234065,0.064,0.705,bcftools,MuMmer,0.067,0.747,678.82,metaQUAST,736.490
Even,3Gb,Canu,33658298,23519,265189,0.070,0.788,bcftools,MuMmer,,,794.16,metaQUAST,
Even,3Gb,Wtdbg2,18451924,26243,401583,0.142,2.176,bcftools,MuMmer,0.136,2.324,1800.42,metaQUAST,1749.340
Even,3Gb,Wtdbg2,17473985,22748,431768,0.130,2.471,bcftools,MuMmer,,,1698.26,metaQUAST,
Even,3Gb,Unicycler,32036161,16222,113047,0.051,0.353,bcftools,MuMmer,0.046,0.323,416.55,metaQUAST,369.760
Even,3Gb,Unicycler,31799817,13401,93437,0.042,0.294,bcftools,MuMmer,,,322.97,metaQUAST,
Even,3Gb,Miniasm,32117009,12806,1996390,0.040,6.216,bcftools,MuMmer,0.039,6.261,,metaQUAST,
Even,3Gb,Miniasm,31422480,12047,1981271,0.038,6.305,bcftools,MuMmer,,,,metaQUAST,
Even,3Gb,Flye,37598196,58796,684309,0.156,1.820,bcftools,MuMmer,0.158,1.664,1876.87,metaQUAST,1661.050
Even,3Gb,Flye,37039411,59219,558881,0.160,1.509,bcftools,MuMmer,,,1445.23,metaQUAST,
Even,6Gb,Minia,2617253,16311,215692,0.623,8.241,bcftools,MuMmer,0.550,7.632,519.81,metaQUAST,515.010
Even,6Gb,Minia,3254245,15535,228509,0.477,7.022,bcftools,MuMmer,,,510.21,metaQUAST,
Even,6Gb,Megahit,190234021,28104,3351509,0.015,1.762,bcftools,MuMmer,0.015,1.752,748.13,metaQUAST,737.335
Even,6Gb,Megahit,188353345,28726,3279931,0.015,1.741,bcftools,MuMmer,,,726.54,metaQUAST,
Even,6Gb,Canu,43633440,30336,352403,0.070,0.808,bcftools,MuMmer,0.072,0.852,757,metaQUAST,800.760
Even,6Gb,Canu,44090450,32433,395101,0.074,0.896,bcftools,MuMmer,,,844.52,metaQUAST,
Even,6Gb,Wtdbg2,17406599,24677,358374,0.142,2.059,bcftools,MuMmer,0.136,2.185,1634.07,metaQUAST,1673.810
Even,6Gb,Wtdbg2,16771224,21993,387553,0.131,2.311,bcftools,MuMmer,,,1713.55,metaQUAST,
Even,6Gb,Unicycler,10458256,5367,64369,0.051,0.615,bcftools,MuMmer,0.050,0.610,384.32,metaQUAST,395.600
Even,6Gb,Unicycler,14178497,6937,85624,0.049,0.604,bcftools,MuMmer,,,406.88,metaQUAST,
Even,6Gb,Miniasm,34296244,13247,2137088,0.039,6.231,bcftools,MuMmer,0.039,6.269,,metaQUAST,
Even,6Gb,Miniasm,32982327,12696,2079824,0.038,6.306,bcftools,MuMmer,,,,metaQUAST,
Even,6Gb,Flye,53424158,79556,1112548,0.149,2.082,bcftools,MuMmer,0.149,1.899,1848.22,metaQUAST,1718.990
Even,6Gb,Flye,52663021,78321,903905,0.149,1.716,bcftools,MuMmer,,,1589.76,metaQUAST,
